Name,Start Time (UTC),Start Time (As Stated),End Time (UTC),End Time (As Stated),Affiliation,Website/Primary URL,Notes
PonyFest April Fools,2022-04-01 19:00,2022-04-01T15:00-04:00,2022-04-02 03:00,2022-04-01T23:00-04:00,PonyFest Online,https://ponyfest.horse/,
Ponies Online 2022,2022-03-05 15:00,2022-03-05T10:00-05:00,2022-03-07 05:00,2022-03-07T00:00-05:00,Ponies Online,https://poniesonline.org/,
PonyFest × PVFM Concert 2022,2022-01-15 21:45,2022-01-15T16:45-05:00,2022-01-16 05:15,2022-01-16T00:15-05:00,PonyFest Online,https://ponyfest.horse/,Collaboration with PonyvilleFM
Vanhoover Pony Expo 2022,2022-01-07 23:00,2022-01-07T15:00-08:00,2022-01-10 05:00,2022-01-09T21:00T-08:00,Vanhoover Pony Expo,https://vanhoover.ca/,
Burning Mare VR: Coldspells,2021-12-31 20:30,2021-12-31T15:30-05:00,2021-01-02 03:30,2021-01-01T22:30-05:00,Burning Mare Music Festival,https://twitter.com/BurningMare,End time is estimated because only start times of sets are given
PonyFest Online 5.0,2021-10-02 11:00,2021-10-02T07:00-04:00,2021-10-03 08:30,2021-10-03T04:30-04:00,PonyFest Online,https://ponyfest.horse/,
GalaPunk 2021,2021-07-24 09:00,2021-07-24T11:00+02:00,2021-07-24 23:15,2021-07-25T01:15+02:00,GalaCon,https://online.galacon.eu/,
TrotCon Online 2021,2021-07-16 19:00,2021-07-16T15:00-04:00,2021-07-19 01:00,2021-07-18T21:00-04:00,TrotCon,https://trotcon.net/trotcononline,
SugarFest 2021,2021-07-10 12:00,2021-07-10T12:00+00:00,2021-07-11 19:00,2021-07-11T19:00+00:00,A State of Sugar,https://sugarfest.live/,End time is estimated because only start times of sets are given
PonyFest Online 2021 Summer Concert,2021-06-26 19:00,2021-06-26T15:00-04:00,2021-06-27 04:15,2021-06-27T00:15-04:00,PonyFest Online,https://ponyfest.horse/,
Brony Bash Online 2021,2021-06-20 01:00,2021-06-19T21:00-04:00,2021-06-20 07:45,2021-06-20T03:45-04:00,Brony Bash Online,https://bronybash.online/,End time is approximate based on CyTube chat
BABSConline Season 2: BABSLab 2021,2021-05-29 17:00,2021-05-29T10:00-07:00,2021-05-31 09:30,2021-05-31T02:30-07:00,BABSCon,https://babslab2021.babscon.com/,End time is approximate based on Twitch stream
Tw3Fest Online,2021-05-22 18:15,2021-05-22T20:15+02:00,2021-05-23 00:00,2021-05-23T02:00+02:00,Tw3Fest,https://twitter.com/PonTw3_,End time is estimated because only start times of sets are given
UK PonyCONLINE: Welcome to the Maneframe,2021-05-08 09:00,2021-05-08T10:00+01:00,2021-05-09 21:00,2021-05-09T22:00+01:00,UK PonyCon,https://online.ukponycon.co.uk/,
Midair Pony Fair 2021,2021-05-01 09:00,2021-05-01T09:00+00:00,2021-05-02 09:00,2021-05-02T09:00+00:00,Midair Pony Fair,https://midairponyfair.com/,
